title,price,property_type,location,publication_date,link
Bureau s0 a boumhel,480,App. 1 pièc,Bou Mhel,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3268485
Bureau haut standing s3 à bou,950,App. 3 pièc,Bou Mhel,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3309018
Villa de charme à boumhel bel,1 250 000,Maisons,Bou Mhel,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3370566
S1 au rdc qui ouvre sur,800,App. 2 pièc,Cite Universita,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3312286
App s2 hs au rdc à afh m,1 200,App. 3 pièc,Hammamet,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3295301
S1 aux jardins de cartha,1 300,App. 2 pièc,Jardins de Cart,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390953
Des appartements direct,208 000,App. 2 pièc,Ain Zaghouan,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3366388
Local commercial rue du,2 500,Autre,La Soukra,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3358205
S plus deux jamais habit,1 200,App. 2 pièc,Ain Zaghouan,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3364097
Rez de chaussée à 2,1 500,App. 3 pièc,Cite Presidenti,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3345140
Bureaux standing men,900,App. 2 pièc,Hammam Sousse,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376983
Rez de chaussée vill,6 000,App. 5 pièc,Cite Presidenti,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3100679
Terrain à sidi abdelaziz la m,9 600 000,Terrain nu,Marsa Safsaf,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3353794
Appartement rdc a la marsa,480 000,App. 4 pièc,Cite Des Juges,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387542
Maison a la marsa ville,1 400 000,Maisons,Cite Du Stade,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3344411
S2 au 2eme étage à la ma,310 000,App. 3 pièc,Cite Des Juges,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390729
